Well	Sample ID	Sample Name	Sex (M/F)	Sample Type	Comments	Test Requested	Conc.	DNA	TE Buffer
A01							#DIV/0!	#DIV/0!
A02							#DIV/0!	#DIV/0!
A03							#DIV/0!	#DIV/0!
A04							#DIV/0!	#DIV/0!
A05							#DIV/0!	#DIV/0!
A06							#DIV/0!	#DIV/0!
A07							#DIV/0!	#DIV/0!
A08							#DIV/0!	#DIV/0!
A09							#DIV/0!	#DIV/0!
A10							#DIV/0!	#DIV/0!
A11							#DIV/0!	#DIV/0!
A12							#DIV/0!	#DIV/0!
B01							#DIV/0!	#DIV/0!
B02							#DIV/0!	#DIV/0!
B03							#DIV/0!	#DIV/0!
B04							#DIV/0!	#DIV/0!
B05							#DIV/0!	#DIV/0!
B06							#DIV/0!	#DIV/0!
B07							#DIV/0!	#DIV/0!
B08							#DIV/0!	#DIV/0!
B09							#DIV/0!	#DIV/0!
B10							#DIV/0!	#DIV/0!
B11							#DIV/0!	#DIV/0!
B12							#DIV/0!	#DIV/0!
C01							#DIV/0!	#DIV/0!
C02							#DIV/0!	#DIV/0!
C03							#DIV/0!	#DIV/0!
C04							#DIV/0!	#DIV/0!
C05							#DIV/0!	#DIV/0!
C06							#DIV/0!	#DIV/0!
C07							#DIV/0!	#DIV/0!
C08							#DIV/0!	#DIV/0!
C09							#DIV/0!	#DIV/0!
C10							#DIV/0!	#DIV/0!
C11							#DIV/0!	#DIV/0!
C12							#DIV/0!	#DIV/0!
D01							#DIV/0!	#DIV/0!
D02							#DIV/0!	#DIV/0!
D03							#DIV/0!	#DIV/0!
D04							#DIV/0!	#DIV/0!
D05							#DIV/0!	#DIV/0!
D06							#DIV/0!	#DIV/0!
D07							#DIV/0!	#DIV/0!
D08							#DIV/0!	#DIV/0!
D09							#DIV/0!	#DIV/0!
D10							#DIV/0!	#DIV/0!
D11							#DIV/0!	#DIV/0!
D12							#DIV/0!	#DIV/0!
E01							#DIV/0!	#DIV/0!
E02							#DIV/0!	#DIV/0!
E03							#DIV/0!	#DIV/0!
E04							#DIV/0!	#DIV/0!
E05							#DIV/0!	#DIV/0!
E06							#DIV/0!	#DIV/0!
E07							#DIV/0!	#DIV/0!
E08							#DIV/0!	#DIV/0!
E09							#DIV/0!	#DIV/0!
E10							#DIV/0!	#DIV/0!
E11							#DIV/0!	#DIV/0!
E12							#DIV/0!	#DIV/0!
F01							#DIV/0!	#DIV/0!
F02							#DIV/0!	#DIV/0!
F03							#DIV/0!	#DIV/0!
F04							#DIV/0!	#DIV/0!
F05							#DIV/0!	#DIV/0!
F06							#DIV/0!	#DIV/0!
F07							#DIV/0!	#DIV/0!
F08							#DIV/0!	#DIV/0!
F09							#DIV/0!	#DIV/0!
F10							#DIV/0!	#DIV/0!
F11							#DIV/0!	#DIV/0!
F12							#DIV/0!	#DIV/0!
G01							#DIV/0!	#DIV/0!
G02							#DIV/0!	#DIV/0!
G03							#DIV/0!	#DIV/0!
G04							#DIV/0!	#DIV/0!
G05							#DIV/0!	#DIV/0!
G06							#DIV/0!	#DIV/0!
G07							#DIV/0!	#DIV/0!
G08							#DIV/0!	#DIV/0!
G09							#DIV/0!	#DIV/0!
G10							#DIV/0!	#DIV/0!
G11							#DIV/0!	#DIV/0!
G12							#DIV/0!	#DIV/0!
H01							#DIV/0!	#DIV/0!
H02							#DIV/0!	#DIV/0!
H03							#DIV/0!	#DIV/0!
H04							#DIV/0!	#DIV/0!
H05							#DIV/0!	#DIV/0!
H06							#DIV/0!	#DIV/0!
H07							#DIV/0!	#DIV/0!
H08							#DIV/0!	#DIV/0!
H09							#DIV/0!	#DIV/0!
H10							#DIV/0!	#DIV/0!
H11	C1	Positive control	F	DNA			#DIV/0!	#DIV/0!
H12	NTC	Negative control		H2O			#DIV/0!	#DIV/0!
